discharge_nr	date	T0	T1	T6
1	20221213	0	0	0
2	20221213	0	0	0
3	20221213	1670918979350000000	1670919039350000000	1670919049050000000
4	20221213	1670919255698000000	1670919315698000000	1670919325290000000
5	20221213	0	0	0
6	20221213	0	0	0
7	20221213	1670920713688000000	1670920773688000000	1670920783388000000
8	20221213	1670920982978000000	1670921042978000000	1670921053878000000
9	20221213	1670921301215000000	1670921486215000000	1670921497115000000
10	20221213	1670921919542000000	1670921979542000000	1670922097552000000
11	20221213	1670922225311000000	1670922285311000000	1670922295011000000
12	20221213	1670923310260000000	1670923370260000000	1670923392670000000
13	20221213	1670923668311000000	1670923728311000000	1670923738011000000
14	20221213	1670923946896000000	1670924006896000000	1670924018220000000
15	20221213	1670924271150000000	1670924331150000000	1670924345160000000
16	20221213	1670924853591000000	1670924913591000000	1670924927601000000
17	20221213	1670925414078000000	1670925474078000000	1670925592088000000
18	20221213	1670925872251000000	1670925932251000000	1670925948261000000
19	20221213	1670926292571000000	1670926352571000000	1670926368581000000
20	20221213	1670927552338000000	1670927612338000000	1670927628348000000
21	20221213	1670928036098000000	1670928096098000000	1670928110108000000
22	20221213	1670928438924000000	1670928498924000000	1670928512934000000
23	20221213	1670929083038000000	1670929143038000000	1670929157048000000
24	20221213	1670929488711000000	1670929548711000000	1670929564721000000
25	20221213	1670929736547000000	1670929796547000000	1670929812557000000
26	20221213	1670930079457000000	1670930139457000000	1670930155467000000
27	20221213	1670930605687000000	1670930665687000000	1670930681697000000
28	20221213	1670931165737000000	1670931225737000000	1670931240054000000
29	20221213	1670931646300000000	1670931706300000000	1670931824310000000
30	20221213	1670932066336000000	1670932126336000000	1670932142346000000
31	20221213	1670933024164000000	1670933084164000000	1670933098452000000
32	20221213	1670933310773000000	1670933370773000000	1670933386783000000
33	20221213	1670933592150000000	1670933652150000000	1670933668160000000
34	20221213	1670933835467000000	1670933895467000000	1670934013477000000
35	20221213	1670934172495000000	1670934232495000000	1670934248505000000
36	20221213	1670934660966000000	1670934720966000000	1670934736976000000
37	20221213	1670936418736000000	1670936478736000000	1670936494746000000
38	20221213	1670937092800000000	1670937152800000000	1670937186810000000
39	20221213	1670937767894000000	1670937827894000000	1670937861904000000
40	20221213	1670939138259000000	1670939198259000000	1670939242269000000
41	20221213	1670940170122000000	1670940230122000000	1670940260632000000
42	20221213	1670940917805000000	1670940977805000000	1670940995176000000
43	20221213	1670941570429000000	1670941630429000000	1670941660939000000
44	20221213	1670942369543000000	1670942429543000000	1670942460053000000
45	20221213	1670943196285000000	1670943256285000000	1670943296295000000
46	20221213	1670944113878000000	1670944173878000000	1670944184182000000
47	20221213	1670945028120000000	1670945088120000000	1670945118630000000
48	20221213	1670945856669000000	1670945916669000000	1670945947179000000
49	20221213	1670946674652000000	1670946734652000000	1670946765162000000
50	20221213	1670947519310000000	1670947579310000000	1670947609820000000
51	20221213	1670948601251000000	1670948661251000000	1670948671500000000
52	20221213	1670948926709000000	1670948986709000000	1670949005719000000
